年度別,稅種_自用住宅用地_筆數,稅種_自用住宅用地_面積,稅種_自用住宅用地_移轉現值,稅種_自用住宅用地_調整後原地價,稅種_自用住宅用地_改良土地費用,稅種_自用住宅用地_漲價總數額,稅種_自用住宅用地_長期持有減徵,稅種_自用住宅用地_查定稅額,稅種_自用住宅用地_增繳地價抵繳,稅種_自用住宅用地_重劃減徵,稅種_自用住宅用地_徵收減徵,稅種_自用住宅用地_其它減徵,稅種_自用住宅用地_應納稅額,稅種_一般用地_筆數,稅種_一般用地_面積,稅種_一般用地_移轉現值,稅種_一般用地_調整後原地價,稅種_一般用地_改良土地費用,稅種_一般用地_漲價總數額,稅種_一般用地_長期持有減徵,稅種_一般用地_查定稅額,稅種_一般用地_增繳地價抵繳,稅種_一般用地_重劃減徵,稅種_一般用地_徵收減徵,稅種_一般用地_其它減徵,稅種_一般用地_應納稅額,稅種_免稅用地_筆數,稅種_免稅用地_面積,稅種_免稅用地_移轉現值,稅種_免稅用地_調整後原地價,稅種_免稅用地_改良土地費用,稅種_免稅用地_漲價總數額,稅種_免稅用地_長期持有減徵,稅種_免稅用地_查定稅額,稅種_免稅用地_增繳地價抵繳,稅種_免稅用地_重劃減徵,稅種_免稅用地_徵收減徵,稅種_免稅用地_其它減徵,稅種_免稅用地_應納稅額,稅種_總計_筆數,稅種_總計_面積,稅種_總計_移轉現值,稅種_總計_調整後原地價,稅種_總計_改良土地費用,稅種_總計_漲價總數額,稅種_總計_長期持有減徵,稅種_總計_查定稅額,稅種_總計_增繳地價抵繳,稅種_總計_重劃減徵,稅種_總計_徵收減徵,稅種_總計_其它減徵,稅種_總計_應納稅額,
102年,415,61413.43,359617,91902,345,267369,214,26736,1205,13,0,0,25517,4134,1927568.4,4064702,1899815,350736,1814150,74673,552454,18857,95709,0,0,437887,8064,12392558.32,6393097,5239224,9635,1527230,38946,428050,1,10,0,28,473,12613,14381540.15,10817417,7230942,360717,3608751,113834,1007242,20064,95734,0,28,463878,,
103年,350,49456.05,349025,102716,77,246231,371,24623,1059,144,0,0,23418,4731,2085513.91,3668647,2154430,22609,1491608,53798,422488,11411,11017,0,5,400052,8054,13823394.35,6961213,5135767,16618,2082833,48394,593614,14,10,0,10,0,13135,15958364.31,10978886,7392913,39305,3820673,102564,1040726,12486,11172,0,16,423471,,
104年,446,60234.79,456484,153691,307,302485,394,30248,1223,528,0,0,28495,5481,2189181.41,4220343,2551027,23901,1645414,42237,445761,12538,16233,0,0,416981,5890,9932449.51,5266656,3634935,2878,1814208,42333,508643,0,0,0,0,0,11817,12181865.71,9943484,6339654,27087,3762108,84964,984653,13761,16762,0,0,445477,,
105年,368,48609.36,392230,128612,0,263618,243,26361,1130,0,0,0,25231,3909,1497273.05,2944113,1850668,4263,1089182,27576,283710,7497,3322,0,0,272889,3897,6660111.08,3567100,2159365,2807,1476566,36409,421087,0,0,0,0,0,8174,8205993.49,6903445,4138647,7070,2829367,64229,731158,8628,3322,0,0,298120,,
106年,159,20572.13,193698,64337,0,129360,67,12935,557,0,0,0,12378,1875,515817.62,1499102,900451,11977,586673,16708,156214,4553,2608,0,0,149052,1967,3866805.82,2000862,1195406,2488,832619,18687,229379,0,0,0,0,0,4001,4403195.57,3693662,2160195,14466,1548653,35463,398529,5111,2608,0,0,161431,,
