主管機關,辦理單位,成立日期,立案文號,里事長,總幹事,協會名稱,服務項目,聯絡電話,傳真,協會地址,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,四維社區發展協會,20061130,,陳來福,,四維社區發展協會,,,,臺東縣臺東市強國街304巷24號,265930.71,2518011.96,,20170910
臺東縣政府,永樂社區發展協會,19930503,,張克帆,,永樂社區發展協會,,,,臺東縣臺東市綏遠路2段141號,261217.66,2516674.15,,20170910
臺東縣政府,光明社區發展協會,19970107,,陳正訓,,光明社區發展協會,,,,臺東縣臺東市中興路2段191號,263241.66,2518485.46,,20170910
臺東縣政府,卑南社區發展協會,20030205,,陳銘風,,卑南社區發展協會,,,,臺東縣臺東市南清街23號,262564.21,2520153.2,,20170910
臺東縣政府,岩灣社區發展協會,20010708,,陳俊魁,,岩灣社區發展協會,,,,臺東縣臺東市岩灣路50巷443弄82之1號,262718.98,2523022.55,,20170910
臺東縣政府,東海社區發展協會,19910208,,林耀宗,,東海社區發展協會,,,,臺東縣臺東市長沙街139號,264570.35,2516623.01,,20170910
臺東縣政府,知本社區發展協會,19920803,,李家澤,,知本社區發展協會,,,,臺東縣臺東市知本路3段13巷40號,255716.56,2511669.74,,20170910
臺東縣政府,南王社區發展協會,19921208,,孫民英,,南王社區發展協會,,,,臺東縣臺東市更生北路616巷2號,261871.26,2520573.85,,20170910
臺東縣政府,建國社區發展協會,20120501,,王榮洲 ,,建國社區發展協會,,,,臺東縣臺東市臨海路1段153號,266347.86,2516924.01,,20170910
臺東縣政府,建業社區發展協會,20070108,,陳慶龍,,建業社區發展協會,,,,臺東縣臺東市西昌街214號,255238.61,2511922.66,,20170910
臺東縣政府,強國社區發展協會,20150228,,鍾世鴻,,強國社區發展協會,,,,臺東縣臺東市寶桑路136號,266055.08,2517153.57,,20170910
臺東縣政府,富岡社區發展協會,19940204,,林昭明,,富岡社區發展協會,,,,臺東縣臺東市吉林路2段699巷22號,268948.31,2521265.61,,20170910
臺東縣政府,富豐社區發展協會,19930305,,林宋博芳,,富豐社區發展協會,,,,臺東縣臺東市吉林路1段279巷58號,266633.11,2520254.15,,20170910
臺東縣政府,新生社區發展協會,19960605,,陳嵩志,,新生社區發展協會,,,,臺東縣臺東市勝利街347號4樓,265217.16,2518575.97,,20170910
臺東縣政府,榮農社區發展協會,19930705,,伍欣華,,榮農社區發展協會,,,,臺東縣臺東市知本路2段290號,257553.05,2512393.85,,20170910
臺東縣政府,興國社區發展協會,20090602,,黃百樂,,興國社區發展協會,,,,臺東縣臺東市光明路237號,265345.64,2516904.88,,20170910
臺東縣政府,豐田社區發展協會,20040108,,田瑞,,豐田社區發展協會,,,,臺東縣臺東市中興路4段735號,258869.81,2519297.1,,20170910
臺東縣政府,豐年社區發展協會,20060404,,林慕西,,豐年社區發展協會,,,,臺東縣臺東市迪化街59號,261268.96,2519110.95,,20170910
臺東縣政府,豐谷社區發展協會,20020205,,屈麗珠,,豐谷社區發展協會,,,,臺東縣臺東市中華路2段230號,264074.55,2515935.5,,20170910
臺東縣政府,豐里社區發展協會,19930104,,侯忠順,,豐里社區發展協會,,,,臺東縣臺東市豐里街756巷20號,261915.15,2514632.61,,20170910
臺東縣政府,豐源社區發展協會,19950208,,劉萬貴,,豐源社區發展協會,,,,臺東縣臺東市中華路4段534巷386之1號,260299.5,2515028.34,,20170910
臺東縣政府,豐榮社區發展協會,20030508,,朱俊旺,,豐榮社區發展協會,,,,臺東縣臺東市漢陽南路51號,264087.8,2515782.51,,20170910
臺東縣政府,寶桑社區發展協會,19921205,,黃柏隆,,寶桑社區發展協會,,,,臺東縣臺東市勝利街235巷12號,265551.45,2518358.16,,20170910
臺東縣政府,鐵花社區發展協會,20100806,,陳棟材,,鐵花社區發展協會,,,,臺東縣臺東市光明路268號,265308.91,2516890.56,,20170910
臺東縣政府,中福社區發展協會,19930105,,羅金英,,中福社區發展協會,,,,臺東縣關山鎮中福里10鄰中華路68號2樓,266806.04,2549726.7,,20170910
臺東縣政府,月眉社區發展協會,19960207,,楊進財,,月眉社區發展協會,,,,臺東縣關山鎮月眉里6鄰中和7之3號,265539.09,2546050.24,,20170910
臺東縣政府,北庄社區發展協會,19930802,,李昌霖,,北庄社區發展協會,,,,臺東縣關山鎮德高里24鄰東明21之3號,268508.18,2555143.75,,20170910
臺東縣政府,新福社區發展協會,19960208,,呂阿美,,新福社區發展協會,,,,臺東縣關山鎮新福里溪埔34之1號,267643.46,2549400,,20170910
臺東縣政府,德高社區發展協會,19930407,,劉源利,,德高社區發展協會,,,,臺東縣關山鎮德高里8鄰永豐105之1號,268200.99,2552579.46,,20170910
臺東縣政府,豐泉社區發展協會,19950209,,余石吉,,豐泉社區發展協會,,,,臺東縣關山鎮豐泉里忠孝路18巷2號,266656.26,2550033.74,,20170910
臺東縣政府,紅頭社區發展協會,19990706,,周孋珠,,紅頭社區發展協會,,,,臺東縣蘭嶼鄉紅頭村紅頭78號,307083.91,2436536.34,,20170910
臺東縣政府,野銀社區發展協會,19991208,,周秋進,,野銀社區發展協會,,,,臺東縣蘭嶼鄉東清村野銀83號,308517.51,2437888.61,,20170910
