100年12月行政區分齡兒童及少年性別人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=607ED34345641980&n=4A2DB40EB35F337E, 100年12月行政區分齡兒童及少年性別人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區住戶特性統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=B5A610F408E17C64&n=4A2DB40EB35F337E, 100年12月行政區住戶特性統計_村里_臺東縣.csv
100年12月行政區住戶特性統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=261098A3DB3E9C0A&n=4A2DB40EB35F337E, 100年12月行政區住戶特性統計_鄉鎮市區_臺東縣.csv
100年12月行政區低收入戶統計指標_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=A2167B4F838BFEF2&n=4A2DB40EB35F337E, 100年12月行政區低收入戶統計指標_鄉鎮市區_臺東縣.csv
100年12月行政區房貸統計分析表-(存量)_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=8DC97C01DCF594B0&n=4A2DB40EB35F337E, 100年12月行政區房貸統計分析表-(存量)_鄉鎮市區_臺東縣.csv
100年12月行政區房貸鑑估成數統計分析表-(存量)_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=BE69228FAB8333ED&n=4A2DB40EB35F337E, 100年12月行政區房貸鑑估成數統計分析表-(存量)_鄉鎮市區_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組婚姻狀況人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=4043244986E87475&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組婚姻狀況人口統計_村里_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組婚姻狀況人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=476662C862441F4D&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組婚姻狀況人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組教育程度人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=05A42561296D614D&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組教育程度人口統計_村里_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組教育程度人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=4FFDEE9BB4F51F8B&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組教育程度人口統計_鄉鎮市區_臺東縣.csv
